card_id,customer_id,BIN
CARD0114,CUST0021,608032
CARD0115,CUST0023,608133
CARD0116,CUST0010,608023
CARD0117,CUST0001,608122
CARD0118,CUST0058,608222
CARD0119,CUST0077,608131
CARD0120,CUST0038,608012
CARD0121,CUST0030,608111
CARD0122,CUST0091,608111
CARD0123,CUST0090,608123
CARD0124,CUST0010,608221
CARD0125,CUST0030,608033
CARD0126,CUST0081,608211
CARD0127,CUST0085,608232
CARD0128,CUST0026,608122
CARD0129,CUST0015,608133
CARD0130,CUST0029,608213
CARD0131,CUST0020,608033
CARD0132,CUST0019,608013
CARD0133,CUST0008,608023
CARD0134,CUST0040,608212
CARD0135,CUST0096,608233
CARD0136,CUST0073,608111
CARD0137,CUST0057,608021
CARD0138,CUST0060,608222
CARD0139,CUST0039,608222
CARD0140,CUST0052,608033
CARD0141,CUST0065,608133
CARD0142,CUST0064,608123
CARD0143,CUST0011,608212
CARD0144,CUST0006,608122
CARD0145,CUST0095,608112
CARD0146,CUST0078,608033
CARD0147,CUST0004,608013
CARD0148,CUST0030,608221
CARD0149,CUST0074,608211
CARD0150,CUST0003,608231
CARD0151,CUST0087,608233
CARD0152,CUST0035,608211
CARD0153,CUST0006,608231
CARD0154,CUST0097,608023
CARD0155,CUST0061,608132
CARD0156,CUST0084,608123
CARD0157,CUST0036,608023
CARD0158,CUST0075,608122
CARD0159,CUST0082,608233
CARD0160,CUST0063,608013
CARD0161,CUST0061,608113
CARD0162,CUST0053,608112
CARD0163,CUST0042,608221
CARD0164,CUST0014,608023
CARD0165,CUST0043,608122
CARD0166,CUST0089,608131
CARD0167,CUST0037,608221
CARD0168,CUST0052,608233
CARD0169,CUST0098,608133
CARD0170,CUST0005,608123
CARD0171,CUST0012,608112
CARD0172,CUST0033,608112
CARD0173,CUST0015,608231
CARD0174,CUST0052,608132
CARD0175,CUST0001,608221
CARD0176,CUST0070,608123
CARD0177,CUST0053,608012
CARD0178,CUST0025,608132
CARD0179,CUST0047,608212
CARD0180,CUST0097,608131
CARD0181,CUST0081,608123
CARD0182,CUST0098,608012
CARD0183,CUST0027,608033
CARD0184,CUST0071,608022
CARD0185,CUST0037,608123
CARD0186,CUST0090,608131
CARD0187,CUST0016,608011
CARD0188,CUST0081,608212
CARD0189,CUST0031,608222
CARD0190,CUST0021,608111
CARD0191,CUST0071,608011
CARD0192,CUST0071,608122
CARD0193,CUST0012,608032
CARD0194,CUST0015,608123
CARD0195,CUST0016,608213
CARD0196,CUST0020,608131
CARD0197,CUST0092,608111
CARD0198,CUST0066,608222
CARD0199,CUST0035,608122
CARD0200,CUST0062,608131
CARD0201,CUST0032,608123
CARD0202,CUST0071,608022
CARD0203,CUST0050,608031
CARD0204,CUST0077,608132
CARD0205,CUST0096,608022
CARD0206,CUST0009,608033
CARD0207,CUST0099,608232
CARD0208,CUST0054,608112
CARD0209,CUST0065,608033
CARD0210,CUST0001,608111
CARD0211,CUST0093,608111
CARD0212,CUST0076,608211
CARD0213,CUST0085,608131
CARD0214,CUST0020,608123
CARD0215,CUST0069,608131
CARD0216,CUST0045,608112
CARD0217,CUST0071,608231
CARD0218,CUST0070,608121
CARD0219,CUST0059,608112
CARD0220,CUST0025,608222
CARD0221,CUST0031,608211
CARD0222,CUST0050,608032
CARD0223,CUST0100,608122
CARD0224,CUST0006,608112
CARD0225,CUST0096,608131
CARD0226,CUST0091,608232
CARD0227,CUST0049,608121
CARD0228,CUST0085,608232
CARD0229,CUST0084,608022
CARD0230,CUST0064,608012
CARD0231,CUST0017,608132
CARD0232,CUST0076,608112
CARD0233,CUST0013,608123
CARD0234,CUST0013,608132
CARD0235,CUST0059,608011
CARD0236,CUST0093,608022
CARD0237,CUST0053,608213
CARD0238,CUST0020,608013
CARD0239,CUST0061,608232
CARD0240,CUST0034,608112
CARD0241,CUST0080,608222
CARD0242,CUST0051,608213
CARD0243,CUST0011,608112
CARD0244,CUST0087,608133
CARD0245,CUST0049,608112
CARD0246,CUST0081,608222
CARD0247,CUST0098,608131
CARD0248,CUST0070,608012
CARD0249,CUST0080,608013
CARD0250,CUST0031,608213
CARD0251,CUST0088,608111
CARD0252,CUST0030,608223
CARD0253,CUST0012,608122
CARD0254,CUST0013,608231
CARD0255,CUST0082,608222
CARD0256,CUST0013,608123
CARD0257,CUST0022,608222
CARD0258,CUST0039,608011
CARD0259,CUST0006,608112
CARD0260,CUST0008,608111
CARD0261,CUST0046,608113
CARD0262,CUST0056,608022
CARD0263,CUST0032,608132
CARD0264,CUST0053,608211
CARD0265,CUST0088,608232
CARD0266,CUST0024,608023
CARD0267,CUST0023,608013
CARD0268,CUST0079,608121
CARD0269,CUST0080,608221
CARD0270,CUST0031,608131
CARD0271,CUST0075,608022
CARD0272,CUST0030,608123
CARD0273,CUST0082,608033
CARD0274,CUST0059,608033
CARD0275,CUST0086,608011
CARD0276,CUST0060,608111
CARD0277,CUST0087,608133
CARD0278,CUST0021,608013
CARD0279,CUST0057,608113
CARD0280,CUST0076,608111
CARD0281,CUST0082,608122
CARD0282,CUST0089,608033
CARD0283,CUST0059,608111
CARD0284,CUST0026,608121
CARD0285,CUST0062,608021
CARD0286,CUST0031,608121
CARD0287,CUST0074,608113
CARD0288,CUST0074,608111
CARD0289,CUST0090,608111
CARD0290,CUST0003,608233
CARD0291,CUST0085,608121
CARD0292,CUST0036,608011
CARD0293,CUST0073,608221
CARD0294,CUST0100,608223
CARD0295,CUST0007,608212
CARD0296,CUST0096,608131
CARD0297,CUST0037,608231
CARD0298,CUST0030,608212
CARD0299,CUST0046,608032
CARD0300,CUST0082,608031
CARD0301,CUST0080,608033
CARD0302,CUST0087,608231
CARD0303,CUST0093,608231
CARD0304,CUST0085,608221
CARD0305,CUST0018,608213
CARD0306,CUST0013,608213
CARD0307,CUST0083,608012
CARD0308,CUST0040,608232
CARD0309,CUST0057,608012
CARD0310,CUST0075,608113
CARD0311,CUST0094,608022
CARD0312,CUST0012,608111
CARD0313,CUST0042,608223
CARD0314,CUST0054,608023
CARD0315,CUST0026,608022
CARD0316,CUST0070,608113
CARD0317,CUST0068,608132
CARD0318,CUST0035,608233
CARD0319,CUST0022,608033
CARD0320,CUST0062,608232
CARD0321,CUST0038,608223
CARD0322,CUST0044,608232
CARD0323,CUST0015,608123
CARD0324,CUST0010,608022
CARD0325,CUST0097,608032
CARD0326,CUST0087,608223
CARD0327,CUST0087,608121
CARD0328,CUST0072,608113
CARD0329,CUST0012,608232
CARD0330,CUST0051,608011
CARD0331,CUST0034,608133
CARD0332,CUST0016,608123
CARD0333,CUST0048,608221
CARD0334,CUST0096,608221
CARD0335,CUST0034,608211
CARD0336,CUST0049,608233
CARD0337,CUST0082,608113
CARD0338,CUST0014,608221
CARD0339,CUST0030,608131
CARD0340,CUST0004,608212
CARD0341,CUST0072,608112
CARD0342,CUST0079,608032
CARD0343,CUST0083,608013
CARD0344,CUST0082,608233
CARD0345,CUST0060,608222
CARD0346,CUST0039,608213
CARD0347,CUST0053,608021
CARD0348,CUST0018,608012
CARD0349,CUST0005,608111
CARD0350,CUST0064,608021
CARD0351,CUST0013,608032
CARD0352,CUST0069,608022
CARD0353,CUST0050,608123
CARD0354,CUST0048,608221
CARD0355,CUST0096,608222
CARD0356,CUST0070,608122
CARD0357,CUST0076,608223
CARD0358,CUST0094,608022
CARD0359,CUST0054,608213
CARD0360,CUST0013,608233
CARD0361,CUST0063,608212
CARD0362,CUST0053,608033
CARD0363,CUST0005,608222
CARD0364,CUST0048,608031
CARD0365,CUST0057,608123
CARD0366,CUST0031,608113
CARD0367,CUST0013,608221
CARD0368,CUST0048,608133
CARD0369,CUST0083,608113
CARD0370,CUST0008,608121
CARD0371,CUST0036,608031
CARD0372,CUST0016,608233
CARD0373,CUST0059,608013
CARD0374,CUST0085,608031
CARD0375,CUST0083,608213
CARD0376,CUST0077,608011
CARD0377,CUST0007,608232
CARD0378,CUST0043,608032
CARD0379,CUST0017,608232
CARD0380,CUST0073,608031
CARD0381,CUST0009,608233
CARD0382,CUST0098,608133
CARD0383,CUST0027,608211
CARD0384,CUST0028,608233
CARD0385,CUST0030,608112
CARD0386,CUST0100,608022
CARD0387,CUST0077,608011
CARD0388,CUST0036,608022
CARD0389,CUST0017,608133
CARD0390,CUST0033,608232
CARD0391,CUST0023,608021
CARD0392,CUST0085,608011
CARD0393,CUST0017,608011
CARD0394,CUST0046,608232
CARD0395,CUST0031,608211
CARD0396,CUST0042,608011
CARD0397,CUST0023,608033
CARD0398,CUST0007,608022
CARD0399,CUST0095,608122
CARD0400,CUST0068,608021
